ipz,ipt,itp,pz_lo,pz_hi,pt_lo,pt_hi,tp_lo,tp_hi,sigma_ar23_LE_d3,sigma_ar23_LE_d3err,sigma_ar23_LE,sigma_ar23_LE_mcerr,n_mc_C_LE,n_mc_H_LE,sigma_ar23_ME_d3,sigma_ar23_ME_d3err,sigma_ar23_ME,sigma_ar23_ME_mcerr,n_mc_C_ME,n_mc_H_ME,sigma_data_LE,sigma_data_LE_staterr,sigma_data_LE_toterr,sigma_data_ME,sigma_data_ME_staterr,sigma_data_ME_toterr,w_LE,w_LE_err,w_ME,w_ME_err,w_BNB_raw,w_BNB,w_BNB_err,unmeasured_LE,unmeasured_ME,no_mc_LE,no_mc_ME,excluded
0,0,0,1.5,2.0,0.0,0.15,0.0,0.02,9.592784210866986e-40,4.92748226868933e-41,1.438917631630048e-42,7.391223403033995e-44,379,0,1.183516258043247e-40,2.0005076020512462e-41,1.7752743870648706e-43,3.0007614030768693e-44,35,0,3.603465885428951e-42,7.263389748393174e-43,9.283274715281489e-43,5.257185360879125e-43,1.4494383866510145e-43,2.0499590752967496e-43,2.5042892005895014,0.6578561205102447,2.9613367934469172,1.2585524960989192,2.056030984517805,2.056030984517805,1.7948780560825015,False,False,False,False,False
0,0,1,1.5,2.0,0.0,0.15,0.02,0.04,1.1465781655732837e-39,5.387094155351101e-41,1.719867248359926e-42,8.080641233026655e-44,453,0,1.8259965124095805e-40,2.4848665152806245e-41,2.738994768614372e-43,3.7272997729209383e-44,54,0,6.67625278988652e-43,3.5661875486317224e-43,3.757312918546026e-43,2.0687432112326987e-43,7.77964881029096e-44,9.553692269462454e-44,0.3881841924865439,0.21922528114976603,0.7552928669079765,0.36363119956183126,0.028135300265523466,0.028135300265523466,0.5619169320663288,False,False,False,False,False
0,0,2,1.5,2.0,0.0,0.15,0.04,0.08,7.175605075938761e-40,3.013470878943922e-41,2.1526815227816284e-42,9.040412636831769e-44,567,0,1.217331008273054e-40,1.4346383514975562e-41,3.651993024819162e-43,4.303915054492669e-44,72,0,8.466798312327309e-43,5.123444620051564e-43,6.27624285228667e-43,8.876349718806478e-43,1.925713051864822e-43,2.7737400648111087e-43,0.3933140235898329,0.29202215686172944,2.430549472160072,0.8117334582999536,-1.6047438202002093,0.0,0.9840689416195889,False,False,False,False,False
0,0,3,1.5,2.0,0.0,0.15,0.08,0.12,3.151191647105382e-40,1.9969865648208532e-41,9.453574941316146e-43,5.99095969446256e-44,249,0,6.593876294812377e-41,1.0558652375074344e-41,1.978162888443713e-43,3.1675957125223033e-44,39,0,1.5093840300283299e-43,2.318007255607057e-43,2.5527642246899026e-43,6.395606798830267e-43,1.795634841920145e-43,2.0210641773583583e-43,0.15966277724542904,0.27022112803376386,3.23310422826803,1.1453688995520488,-2.8546740304882756,0.0,1.2443417917975774,False,False,False,False,False
0,0,4,1.5,2.0,0.0,0.15,0.12,0.16,2.5310776281970933e-40,1.7897421546077279e-41,7.593232884591282e-43,5.369226463823184e-44,200,0,5.410360036769127e-41,9.564255676650372e-42,1.623108011030739e-43,2.8692767029951124e-44,32,0,4.2864790955375036e-44,8.939550222811674e-44,9.821758725019789e-44,3.3085396130661285e-43,1.0525187246124069e-43,1.3539756565039281e-43,0.05645130553332463,0.1294104184304516,2.0383976855397767,0.9086879506861004,-1.887380721011465,0.0,0.9273441218953822,False,False,False,False,False
0,0,5,1.5,2.0,0.0,0.15,0.16,0.24,3.315711692938193e-40,1.4484753784192687e-41,1.989427015762916e-42,8.690852270515611e-44,524,0,6.593876294812377e-41,7.466094694606514e-42,3.956325776887425e-43,4.4796568167639083e-44,78,0,2.18215269866284e-42,9.322848675324688e-43,1.1698358214933429e-42,6.201771575573558e-43,1.9761164140789067e-43,2.728183551281502e-43,1.0968749702164955,0.5899756206748646,1.5675583673629376,0.7120511349226306,0.6352431768613309,0.6352431768613309,1.3613752694943784,False,False,False,False,False
0,0,6,1.5,2.0,0.0,0.15,0.24,0.32,3.360005551431642e-40,1.45811821210136e-41,2.0160033308589854e-42,8.748709272608163e-44,531,0,6.678413170386891e-41,7.513801855387301e-42,4.007047902232136e-43,4.508281113232381e-44,79,0,4.8127251697482185e-43,5.368400719767773e-43,6.034808158315469e-43,2.8542923961288497e-43,1.1935372878579024e-43,1.3257606547275261e-43,0.23872605248611353,0.2995243625947254,0.7123180121053354,0.34042507826556845,-0.22575836944812333,0.0,0.680783538297593,False,False,False,False,False
0,0,7,1.5,2.0,0.0,0.15,0.32,0.4,1.9995513262757037e-40,1.1248355022366892e-41,1.1997307957654225e-42,6.749013013420138e-44,316,0,4.903138783322021e-41,6.438136634541749e-42,2.9418832699932137e-43,3.86288198072505e-44,58,0,2.951211690728662e-45,9.74020075549402e-45,1.0385961745866734e-44,8.118811811273764e-44,6.548350132957178e-44,7.431510701436642e-44,0.002459894920714945,0.008658016109873972,0.27597328194780796,0.2551965317988016,-0.26579361927893397,0.0,0.25087575212674157,False,False,False,False,False
0,0,8,1.5,2.0,0.0,0.15,0.4,0.6,9.516851882021076e-41,4.9079416143072604e-42,1.4275277823031609e-42,7.361912421460891e-44,376,0,1.8259965124095816e-41,2.4848665152806258e-42,2.738994768614372e-43,3.7272997729209383e-44,54,0,2.587893371754879e-43,4.085345021710765e-43,4.2041945660558015e-43,1.7774243114656533e-43,1.117989861513848e-43,1.3019990727854152e-43,0.18128497419360864,0.2946571273392077,0.6489330800601832,0.4834896575417803,-0.2773698988678395,0.0,0.751999045802266,False,False,False,False,False
0,0,9,1.5,2.0,0.0,0.15,0.6,0.799,4.044636611892843e-41,3.2076054787152805e-42,6.0366201432500696e-43,4.787351176982558e-44,159,0,1.0535248815316767e-41,1.8921865454021904e-42,1.572385885686028e-43,2.82408841901277e-44,31,0,3.4500219491046257e-43,5.2305837636142206e-43,5.692827485252959e-43,4.864123079625951e-43,2.2360915041918743e-43,2.4239604901814163e-43,0.5715154949682093,0.9441373564689058,3.0934665109282293,1.638647984124703,-1.9019364629925795,0.0,2.4658115835540286,False,False,False,False,False
