# hA2018/hA2025 INTRANUKE pi+ FSI TGraph2D points (archival), extracted
# from hA_TGraphs_2D/TGraphs_{2018,2025}.root by scripts/extract_ha_tgraphs.py.
# model=2018: value = fate fraction(A, KE[MeV]).
# model=2025: value = log(cross section).
# The runtime table is ha_pion_fsi_weights_A40.csv.
model,graph,fate,A,KE,value
2018,TfracPipA_CEx,cex,1.0,0.0,0.157457
2018,TfracPipA_CEx,cex,1.0,50.0,0.214761
2018,TfracPipA_CEx,cex,1.0,100.0,0.391288
2018,TfracPipA_CEx,cex,1.0,150.0,0.44552
2018,TfracPipA_CEx,cex,1.0,200.0,0.506208
2018,TfracPipA_CEx,cex,1.0,250.0,0.544616
2018,TfracPipA_CEx,cex,1.0,300.0,0.56168
2018,TfracPipA_CEx,cex,1.0,350.0,0.570594
2018,TfracPipA_CEx,cex,1.0,400.0,0.285788
2018,TfracPipA_CEx,cex,1.0,450.0,0.0
2018,TfracPipA_CEx,cex,1.0,500.0,0.0
2018,TfracPipA_CEx,cex,1.0,550.0,0.0
2018,TfracPipA_CEx,cex,1.0,600.0,0.0
2018,TfracPipA_CEx,cex,1.0,650.0,0.0
2018,TfracPipA_CEx,cex,1.0,700.0,0.0
2018,TfracPipA_CEx,cex,1.0,750.0,0.0
2018,TfracPipA_CEx,cex,1.0,800.0,0.0
2018,TfracPipA_CEx,cex,1.0,850.0,0.0
2018,TfracPipA_CEx,cex,1.0,900.0,0.0
2018,TfracPipA_CEx,cex,1.0,950.0,0.0
2018,TfracPipA_CEx,cex,1.0,1000.0,0.0
2018,TfracPipA_CEx,cex,2.0,0.0,0.141891
2018,TfracPipA_CEx,cex,2.0,50.0,0.191423
2018,TfracPipA_CEx,cex,2.0,100.0,0.375092
2018,TfracPipA_CEx,cex,2.0,150.0,0.428576
2018,TfracPipA_CEx,cex,2.0,200.0,0.489624
2018,TfracPipA_CEx,cex,2.0,250.0,0.528956
2018,TfracPipA_CEx,cex,2.0,300.0,0.546154
