# MicroBooNE CC1mu1p0pi  PRL 131 101802 (2023) / arXiv:2301.03706
# AR23 -> data reweight per published differential cross section.
# sigma_data: FullUnc_<obs>Plot from the NUISANCE data release (1e-38 cm^2/Ar40/x).
# sigma_ar23: exclusive CC1mu1p differential xsec from the AR23 GHEP sample,
#   dsigma/dx = (N_sel,bin/N_total) * <sigma_tot>_Phi / dx, <sigma_tot>_Phi=28.3961 1e-38 cm^2/Ar40,
#   N_total=1000000, sigma_tot(E) from xsec_graphs.root nu_mu_Ar40/tot_cc (NOT the GHEP xsec field).
# weight = sigma_data/sigma_ar23 (1.0 where no AR23 events).
# 2D block 'DeltaAlphaT_DeltaPT': double-differential d2sigma/(d deltapT d deltaAlphaT).
# selected signal events: 334205.
obs,ix,iy,x_lo,x_hi,y_lo,y_hi,sigma_data,sigma_ar23,weight
DeltaPT,0,-1,0,0.05,0,0,17.6199,13.83,1.27403
DeltaPT,1,-1,0.05,0.1,0,0,31.2674,28.8885,1.08235
DeltaPT,2,-1,0.1,0.15,0,0,38.9935,32.9667,1.18282
DeltaPT,3,-1,0.15,0.2,0,0,36.591,29.942,1.22207
DeltaPT,4,-1,0.2,0.25,0,0,26.6141,22.3136,1.19273
DeltaPT,5,-1,0.25,0.3,0,0,15.4442,12.0098,1.28597
DeltaPT,6,-1,0.3,0.35,0,0,11.5682,9.17761,1.26048
DeltaPT,7,-1,0.35,0.4,0,0,10.864,8.10254,1.34082
DeltaPT,8,-1,0.4,0.47,0,0,9.58465,6.68322,1.43414
DeltaPT,9,-1,0.47,0.55,0,0,7.70253,5.05486,1.52379
DeltaPT,10,-1,0.55,0.65,0,0,4.6958,3.47596,1.35094
DeltaPT,11,-1,0.65,0.75,0,0,2.55391,2.07263,1.23221
DeltaPT,12,-1,0.75,0.9,0,0,1.11689,0.998785,1.11825
DeltaAlphaT,0,-1,0,22,0,0,0.0472958,0.0362992,1.30294
DeltaAlphaT,1,-1,22,44,0,0,0.044963,0.0373821,1.20279
DeltaAlphaT,2,-1,44,66,0,0,0.0445494,0.0395596,1.12613
DeltaAlphaT,3,-1,66,88,0,0,0.0504419,0.0440281,1.14567
DeltaAlphaT,4,-1,88,110,0,0,0.0668114,0.0508871,1.31294
DeltaAlphaT,5,-1,110,145,0,0,0.0782736,0.0658051,1.18948
DeltaAlphaT,6,-1,145,180,0,0,0.0908275,0.0744999,1.21916
DeltaPhiT,0,-1,0,12.5,0,0,0.314423,0.28422,1.10627
DeltaPhiT,1,-1,12.5,25,0,0,0.203592,0.165567,1.22966
DeltaPhiT,2,-1,25,37.5,0,0,0.107301,0.0836503,1.28273
DeltaPhiT,3,-1,37.5,50,0,0,0.0626191,0.0500998,1.24989
DeltaPhiT,4,-1,50,60,0,0,0.0497176,0.0375794,1.323
DeltaPhiT,5,-1,60,75,0,0,0.030944,0.0280515,1.10311
DeltaPhiT,6,-1,75,90,0,0,0.0245922,0.0212914,1.15503
DeltaPhiT,7,-1,90,106,0,0,0.0207547,0.0167484,1.23921
DeltaPhiT,8,-1,106,126,0,0,0.0166714,0.0133376,1.24995
DeltaPhiT,9,-1,126,145,0,0,0.0137008,0.0110655,1.23815
DeltaPhiT,10,-1,145,162,0,0,0.0116493,0.00983005,1.18507
DeltaPhiT,11,-1,162,180,0,0,0.0100951,0.00932653,1.08241
MuonCosTheta,0,-1,-1,-0.85,0,0,1.24255,1.02358,1.21392
MuonCosTheta,1,-1,-0.85,-0.7,0,0,1.37422,1.13793,1.20766
MuonCosTheta,2,-1,-0.7,-0.57,0,0,1.70223,1.28219,1.32759
MuonCosTheta,3,-1,-0.57,-0.45,0,0,1.82862,1.47399,1.24059
