# MicroBooNE CC1mu2p0pi  PLB 872 140052 (2026) / arXiv:2211.03734
# AR23 -> data reweight per published differential cross section.
# sigma_data: h_data_xsec_<obs> from the NUISANCE data release (1e-38 cm^2/Ar40/x).
# sigma_ar23: exclusive CC1mu2p differential xsec from the AR23 GHEP sample,
#   dsigma/dx = (N_sel,bin/N_total) * <sigma_tot>_Phi / dx, with <sigma_tot>_Phi=28.3961 1e-38 cm^2/Ar40,
#   N_total=1000000, sigma_tot(E) from xsec_graphs.root nu_mu_Ar40/tot_cc (NOT the GHEP xsec field).
# weight = sigma_data/sigma_ar23 (1.0 where no AR23 events).
# selected signal events: 93122.
obs,bin,x_lo,x_hi,sigma_data,sigma_ar23,weight
muon_mom,0,0.1,0.3,2.87603,2.67974,1.07325
muon_mom,1,0.3,0.5,4.03276,3.679,1.09616
muon_mom,2,0.5,0.7,2.94637,2.93459,1.00401
muon_mom,3,0.7,0.9,2.10315,2.13638,0.984448
muon_mom,4,0.9,1.2,0.826208,1.19453,0.691661
muon_costheta,0,-1,-0.75,0.327054,0.252725,1.29411
muon_costheta,1,-0.75,-0.5,0.360651,0.334619,1.07779
muon_costheta,2,-0.5,-0.25,0.505295,0.42083,1.20071
muon_costheta,3,-0.25,0,0.889762,0.586095,1.51812
muon_costheta,4,0,0.25,1.05432,0.863581,1.22087
muon_costheta,5,0.25,0.5,1.69835,1.3805,1.23024
muon_costheta,6,0.5,0.75,2.6217,2.47194,1.06058
muon_costheta,7,0.75,1,3.45847,4.26691,0.810533
muon_phi,0,-3.15,-2.52,0.418817,0.417918,1.00215
muon_phi,1,-2.52,-1.89,0.368166,0.423192,0.869975
muon_phi,2,-1.89,-1.26,0.399122,0.420623,0.948883
muon_phi,3,-1.26,-0.63,0.369553,0.415033,0.890417
muon_phi,4,-0.63,0,0.36852,0.414673,0.888701
muon_phi,5,0,0.63,0.470814,0.421975,1.11574
muon_phi,6,0.63,1.26,0.642958,0.424364,1.51511
muon_phi,7,1.26,1.89,0.438282,0.423868,1.03401
muon_phi,8,1.89,2.52,0.442404,0.417693,1.05916
muon_phi,9,2.52,3.15,0.383528,0.417963,0.917612
leading_mom,0,0.3,0.4,5.67327,3.1886,1.77924
leading_mom,1,0.4,0.5,5.5873,4.76287,1.17309
leading_mom,2,0.5,0.6,5.51976,5.36629,1.0286
leading_mom,3,0.6,0.7,4.87311,5.23567,0.930752
leading_mom,4,0.7,0.8,3.71721,3.81842,0.973494
leading_mom,5,0.8,1,2.01321,2.03557,0.989013
leading_costheta,0,-1,-0.75,0.24876,0.193434,1.28602
leading_costheta,1,-0.75,-0.5,0.264674,0.285665,0.92652
leading_costheta,2,-0.5,-0.25,0.398716,0.436959,0.91248
leading_costheta,3,-0.25,0,0.537008,0.688321,0.78017
leading_costheta,4,0,0.25,1.19844,1.04248,1.14961
leading_costheta,5,0.25,0.5,1.7421,1.65072,1.05536
leading_costheta,6,0.5,0.75,2.48503,2.47568,1.00378
leading_costheta,7,0.75,1,3.7919,3.80394,0.996834
